,term,definition
10,австрические языки,См. Аустрические языки.
11,австроазиатские языки,См. Аустроазиатские языки.
12,австронезийские языки,"Одна из крупнейших семей языков. Распространены на Малайском архипелаге (Индонезия, Филиппины), полуострове Малакка, в некоторых южных районах Индокитая, в Океании, на острове Мадагаскар, острове Тайвань. В центральной части ареала А. я. расселены также папуасоязычные народы; ряд малоизученных языков смешанного папуасско-австронезийского происхождения пока не может быть обоснованно отнесён ни к А. я., ни к какой-либо семье папуасских языков. Количество А. я. около 800, число говорящих около 237 млн. чел. До 60‑х гг. 20 в. А. я. часто называли также малайско-полинезийскими, но позднее этот термин стали применять к подразделению внутри семьи."
13,автоматическая обработка текста," одно из направлений автоматизации редакционно-издательских процессов. В этих областях термин «А. о. т.» употребляется, как правило, в относительно узком смысле как преобразование формы. В вычислительной лингвистике, предметом которой является автоматический лингвистический анализ и синтез текста, а также лингвистические аспекты общения с ЭВМ на естественном языке, термин «А. о. т.» понимается в более широком смысле, охватывающем и процедуры анализа содержания и синтеза (по заданному содержанию понятного человеку) текста."
14,автоматический перевод," выполняемое на ЭВМ действие по преобразованию текста на одном естественном языке в эквивалентный по содержанию текст на другом языке, а также результат такого действия. В современных системах А. п. участвует человек (редактор). Для осуществления А. п. в ЭВМ вводятся программа (алгоритм), словари входного и выходного языков, содержащие разнообразную информацию. Наиболее распространённая последовательность формальных операций, составляющих анализ и синтез в системе А. п.: ввод текста и поиск входных словоформ в словаре с сопутствующим морфологическим анализом; перевод идиом; определение основных грамматических (морфологических, синтаксических, а также семантических, лексических) признаков, необходимых для перевода в рамках данной пары языков, по входному тексту; разбор омографии; лексический анализ и перевод (в т. ч. многозначных слов с учётом контекста); окончательный грамматический анализ с целью доопределения информации, необходимой для синтеза; синтез выходных словоформ, предложений и текста в целом. Анализ может производиться как пофразно, так и для всего текста, с определением в последнем случае анафорических связей."
15,агавские языки," языки, образующие центральную группу кушитских языков. Распространены на севере и северо-западе Эфиопии. Число говорящих 380 тыс. чел. К А. я. относятся: аунги (авийя) — на юге провинции Годжам; билин (богос) — в Эритрее; хамтанга (хамта) и вымерший хамир — на границе провинций Тыграй (Тигре) и Уолло; кемант, а также вымершие квара и дембеа (кайло) — в провинции Гондэр. До переселения семитов из Южной Аравии в Африку (не позже середины 1‑го тыс. до н. э.) А. я. являлись преобладающими на территории современной Северной Эфиопии. Ныне сохранились лишь небольшие островки агавоязычного населения в зонах распространения эфиосемитских языков (амхарского, тигре, тигринья). В лексике эфиосемитских языков (геэз и др.) прослеживается существенный древнеагавский субстрат."
16,агванский язык,"См. Удинский язык, Агванское письмо."
17,агванское письмо," древнейшая письменность Дагестана и Северного Азербайджана, употреблявшаяся в 5—9 вв. местной христианской церковью Агвании, или Кавказской Албании. Алфавит содержал 52 графемы. Буквенная система А. п., специальные знаки для гласных (в частности, диграфы для передачи гласного u и его фарингализованного коррелята ụ), а также принцип письма слева направо позволяют считать его сильно модифицированной грецизованной вариацией одного из несемитических ответвлений арамейской графической основы. Хотя историческая традиция свидетельствует о существовании в прошлом ряда крупных памятников агванской литературы, уничтоженных в средние века, известные эпиграфические памятники А. п. (лапидарные надписи, граффити) пока очень скудны. Выделяется серия находок из Мингечаура (Азербайджанская ССР). По-видимому, А. п. отражает древнюю форму одного из лезгинских языков — удинского языка; об этом свидетельствует общее число графем (при 53—54 фонемах в удинском) в алфавите, сохранённом в армянском источнике 15 в., некоторые особенности его инвентаря, а также уже прочтённые фрагменты надписей. Дешифровка А. п. ещё далеко не завершена; её дальнейший прогресс зависит от появления нового эпиграфического материала."
18,агглютинативные языки, см. Типологическая классификация языков.
19,агглютинации теория,"Одна из гипотез происхождения индоевропейских флективных форм, согласно которой личные окончания глагола и падежные окончания имени развились из первоначально независимых местоимений путём присоединения (агглютинации) их к корню и превращения в формальные элементы словоформы."
20,агглютинация," приклеивание, склеивание) — способ слово- и формообразования, при котором к основе или корню, в преобладающем количестве случаев сохраняющим стабильный звуковой состав, присоединяются однозначные стандартные аффиксы. В таком понимании (как способ соединения морфем) агглютинация противополагается фузии."
21,агенс," действующий) — типовая семантическая характеристика (роль) участника ситуации, описываемой в предложении. Термином «агенс» обозначают одушевлённого участника ситуации, её намеренного инициатора, который контролирует ситуацию, непосредственно исполняет соответствующее действие и является «источником энергии» этого действия. Соотношение семантической роли агенса с морфолого-синтаксическими средствами выражения не является однозначным, можно лишь указать типичную схему соответствия. В номинативных языках агенс обычно выражается подлежащим («Петя идёт в школу», «Петя разбил чашку») или — при пассиве — агентивным дополнением («Чашка разбита Петей»). В эргативных языках агенс при двухместных (двухвалентных) глаголах обычно выражается особым падежом — эргативом, при одноместных (одновалентных) — номинативом. В активных языках наличие агенса отражается специальным (активным) спряжением глагола."
22,агульский язык,"Один из лезгинских языков. Распространён в Агульском и Курахском районах Дагестанской АССР. Число говорящих около 12 тыс. чел. (1979, перепись). Генетически наиболее близок табасаранскому языку. Имеет 4 диалекта: тпигский, керенский, буркиханский, кошанский."
23,адамауа-восточные языки,"Подсемья в составе семьи нигеро-конголезских языков. Распространены в Заире, Судане, ЦАР, Чаде, Камеруне и Нигерии. Общее число говорящих свыше 7 млн. чел."
24,адаптации теория," приспособление, прилаживание) — одна из предлагавшихся в середине 19 в. гипотез происхождения индоевропейских флективных форм, согласно которой словоизменительные аффиксы и местоимения развились независимо друг от друга и затем были взаимно приспособлены к выражению грамматических значений. А. т. была выдвинута санскритологом А. Людвигом в 1871—1873 в противоположность агглютинации теории Ф. Боппа. В трактовке Людвига индоевропейские окончания в имени и глаголе были первоначально основообразующими суффиксами с обобщённым указательным значением, но по мере появления потребности в выражении более разнообразных значений и отношений эти древние основы были переосмыслены как флективные и прежние суффиксы приспосабливались для выражения новых грамматических категорий; определённую роль в этом процессе могла играть аналогия. Людвиг пытался найти подтверждение А. т. в материале ведического санскрита (неразличение некоторых личных форм глагола, что он считал пережитком дофлективного состояния) и в якобы найденных им особых звуковых законах индоевропейского праязыка (обязательная структура CV у первосуффиксов, изменения t > s, s > r, t > n и т. п.), которые, однако, остались произвольной гипотезой. А. т. не получила поддержки у современников (частично её принимал А. Г. Сейс) и была вытеснена теорией Боппа. В своей антибопповской направленности А. т. смыкается с теорией эволюции (Ф. фон Шлегель), которая, возникнув раньше теории агглютинации, нашла мало последователей (К. Ф. Беккер, Р. Вестфаль, М. К. Рапп) и которая исходила из первичности окончаний, а местоимения трактовала как позднейшие элементы, развившиеся из окончаний."
25,адвербиализация," наречие), см. Транспозиция."
26,адстрат," при, около и stratum — слой, пласт) — совокупность черт языковой системы, объясняемых как результат влияния одного языка на другой в условиях длительного сосуществования и контактов народов, говорящих на этих языках. Адстрат, в отличие от соотнесённых с этим понятием терминов субстрат и суперстрат, означает нейтральный тип языкового взаимодействия, при котором не происходит этнической ассимиляции и растворения одного языка в другом; адстратные явления образуют прослойку между двумя самостоятельными языками. Иногда термин «адстрат» применяется для обозначения смешанного билингвизма (см. Многоязычие). Понятие «адстрат» было введено М. Дж. Бартоли (1939) и не нашло широкого использования в лингвистике."
27,адъективация," прилагательное), см. Транспозиция."
28,адыгейский язык,"Один из абхазско-адыгских языков. Распространён в Адыгейской АО, а также в Лазаревском и Туапсинском районах, в ауле Урупском Новокубанского района Краснодарского края. Число говорящих свыше 104 тыс. чел. (1979, перепись). Имеет темиргоевский (в основе литературного языка), абадзехский, бжедугский и шапсугский диалекты. А. я. отличается от кабардино-черкесского языка наличием лабиализованных аффрикат дзу, цу, спирантов жъу, шъу, шӀу и смычных пӀу, тӀу, формами времён и наклонений, статичности и динамичности, образованием числительных, наличием двух грамматических форм принадлежности (органической и имущественной), использованием суффикса отрицания ‑п, форманта эргативно-косвенного падежа ‑щ в указательных местоимениях."
29,адыгские языки,См. Абхазско-адыгские языки.
30,азбуковники,"16 вв. азбуковники служили главным образом толковыми словарями «неудобопознаваемых речей» (т. е. непонятных слов), встречающихся в книгах так называемого Священного писания. Слова располагались по алфавиту, указывались их происхождение, перевод и толкование. Термин «азбуковник» появляется впервые в 17 в. в названии одного из подобных словарей. В особый словарный тип азбуковники сложились в конце 16 — начале 17 вв. В 17—18 вв. наибольшее распространение получили учебные азбуковники. Они состояли обычно из азбуки (со слогами и прописями), кратких сведений по русской, а иногда и по греческой грамматике (например, «О начале грамоты греческия и русския»), сведений по арифметике и религиозно-нравственных поучений. В некоторых азбуковниках встречаются статьи по всеобщей истории (о Юлии Цезаре, Яне Гусе и др.); статьи по русской истории заимствованы большей частью из хронографов — сочинений, содержавших изложение всемирной истории (о князьях Борисе и Глебе, Андрее Боголюбском, об Иване Грозном и т. п.). Географические статьи извлечены преимущественно из Космографии. В занимательной форме азбуковники сообщали и сведения по естествознанию (о некоторых экзотических животных, драгоценных камнях, растениях и прочем). Наряду с фантастическими сведениями в азбуковниках имелись и реальные наблюдения над природой и общественными явлениями. Отдельные азбуковники копировались и перерабатывались вплоть до 18 в. Сохранилось более 200 списков азбуковников. В европейских странах в средние века также повсеместно составлялись многоязычные словари типа русских азбуковников. Внимание современных исследователей азбуковники привлекают главным образом как памятники русской лексикографии и исторической лексикологии; они являются также существенными, хотя пока и мало изученными источниками по истории культурных и языковых связей России с Востоком и Западом в средние века."
31,азербайджанский язык,"Один из тюркских языков. Распространён в Азербайджанской ССР, частично в Грузинской ССР и Армянской ССР, а также в Иране, Ираке, Турции. Общее число говорящих около 14 млн. чел., из них в СССР около 5 млн. 400 тыс. чел. (1979, перепись). Азербайджанский язык имеет 4 диалектные группы: 1) восточную (кубинский, бакинский, шемахинский диалекты, муганский и ленкоранский говоры), 2) западную (казахский, Карабахский, гянджинский диалекты, айрумский говор), 3) северную (нухинский диалект и закатало-кахские говоры), 4) южную (нахичеванский, ордубадский, тавризский диалекты, ереванский говор). Различия в диалектах затрагивают главным образом фонетику и лексику."
32,аймара," в андскую группу андо-экваториальной филии. Некоторые лингвисты считают язык аймара изолированным. Основные диалекты (некоторые учёные считают их языками): кана, канчи, лупака (Перу), каранга, чарка, пакаса (Боливия), колья (Перу и Боливия). Особо выделяются языки кауки и хакару на юго-западе Перу."
33,айнский язык," один из языков Восточной Азии, родственные связи которого не выяснены. Был распространён на большей части Японских островов (остров Хоккайдо и восточная часть острова Хонсю), в южной части острова Сахалин, на Курильских островах, на крайнем юге полуострова Камчатка. В 20 в. язык вышел из живого употребления; живущие в Японии айны пользуются японским языком, и лишь несколько человек помнят А. я. В А. я. в 50‑х гг. было выделено 23 диалекта; ранее, видимо, существовало большее их количество. Наиболее значительными были различия между диалектами острова Хоккайдо и острова Сахалин (о других территориях почти нет сведений), лучше всего изучены диалекты Сару (юг острова Хоккайдо) и Райчишки (юго-запад острова Сахалин)."
34,айсорский язык,См. Ассирийский язык.
35,академия наук сССР," научный и научно-организационный центр, объединяющий в АН учёных, работающих в области литературоведения и языкознания. ОЛЯ осуществляет научное и научно-методическое руководство институтами и другими научными подразделениями, входящими в его состав, направляет развитие филологической науки в стране, координирует исследования по основным направлениям в области филологических наук в научных учреждениях и высших учебных заведениях страны."
36,академия российская," 60 действительных членов, с 1818 избирались почётные члены. Президенты: Е. Р. Дашкова (1783—96), П. П. Бакунин (1796—1801), А. А. Нартов (1801—1813), А. С. Шишков (1813—41). Членами Академии были академики С. Я. Румовский, Н. Я. Озерецковский, И. И. Лепёхин, А. П. Протасов, С. К. Котельников, Н. П. Соколов, П. Б. Иноходцев, В. М. Севергин, писатели Д. И. Фонвизин, Г. Р. Державин, Я. Б. Княжнин, И. А. Крылов, Н. М. Карамзин, В. А. Жуковский, А. С. Пушкин, П. А. Вяземский, государственные и военные деятели И. И. Шувалов, Н. С. Мордвинов, М. М. Сперанский, А. П. Ермолов и другие."
37,акан," один из ква языков. Распространён в центральной части Ганы вплоть до побережья. Число говорящих свыше 6 млн. чел. Представляет собой группу близкородственных диалектов аквапим, акем, ашанти, фанти, причём первые три объединяются под названием тви (чи), поэтому вся группа диалектов именуется тви-фанти. В современной африканистике ашанти и фанти иногда определяются как самостоятельные языки."
38,аккадский язык," один из семитских языков (северо-периферийная, или северо-восточная, группа); язык древнего населения Месопотамии и Ассирии (современного Ирака). Не позже середины 3‑го тыс. до н. э. был распространён на севере Нижней и в Средней Месопотамии наряду с шумерским языком. К началу 2‑го тыс. до н. э. всё население Месопотамии и долины реки Тигр стало пользоваться только А. я. С середины 3‑го тыс. наряду с шумерским, а во 2‑м тыс. до н. э. — единственный официальный язык Вавилонии и Ассирии, дипломатический и отчасти литературный язык всей Передней Азии."
39,аккомодация," приспособление) — один из видов комбинаторных изменений звуков; частичное приспособление артикуляций смежных согласного и гласного. Заключается в том, что экскурсия (начало артикуляции) последующего звука приспосабливается к рекурсии (окончанию артикуляции) предыдущего (прогрессивная аккомодация) или рекурсия предыдущего звука приспосабливается к экскурсии последующего (регрессивная аккомодация). Для одних языков характерна аккомодация гласных согласным, например в русском гласные а, о, у после мягких согласных становятся более передними (артикуляция их продвинута вперед в экскурсии), ср. «мат» — «мят», «мол» — «мёл», «лук» — «люк»; для других — согласных гласным, например в персидском языке палатализуются согласные перед передними гласными. Иногда аккомодацию отличают от коартикуляции — наложения артикуляции, характерной для последующего звука, на весь предшествующий звук (например, лабиализация согласного под влиянием последующего губного [о] или [у] в русском языке — «ток», «тук», ср. «так»). Однако часто термины «аккомодация» и «коартикуляция» употребляются как синонимы."
40,актант," привожу в движение, действую) —"
41,активный словарь, словарей-минимумов.
42,активный строй," деятельный, действенный) (фиентивный строй, активная типология, активность) — типология языка (см. Типология лингвистическая), ориентированная на семантическое противопоставление не субъекта и объекта, как в языках номинативного строя, а так называемых активного и инактивного начал. В лексике А. с. проявляется в распределении существительных на классы активных (одушевлённых) и инактивных (неодушевлённых), глаголов — на классы активных (глаголов действия) и стативных (глаголов состояния), при отсутствии класса имён прилагательных. В синтаксисе для А. с. характерны корреляция активной и инактивной конструкции предложения, противопоставление так называемых ближайшего и дальнейшего дополнений. Активная конструкция обусловлена активным глаголом, ср. гуарани o‑heša e‑roga ‘Он видит твой дом’, инактивная — стативным, ср. гуарани ti‑mirĩ ‘он скромен’. В морфологии для имени специфична морфологическая категория притяжательности, различающая формы органической и неорганической принадлежности (при наличии системы склонения активный падеж противополагается инактивному). В глагольном словоизменении есть морфологические категории: лица, представленной активной и инактивной сериями личных показателей; версии (различающей центробежную и нецентробежную формы); способа действия. Языки А. с. распространены в Северной и Южной Америке: семьи на-дене, сиу, мускоги (галф), тупи-гуарани и, по-видимому, ирокуа-каддо. Есть некоторые основания реконструировать А. с. для прошлого ряда современных языков номинативного строя (среди них — индоевропейских) и эргативного строя."
