,term,definition
30,paradigm,The set of forms belonging to a particular word-class or member of a word-class. A paradigm can be thought of as a vertical list of forms which can occupy a slot in a syntagm. Pronounced [ˡpærədaim].
31,parameter,"Any aspect of language which can obtain a specific value in a given language, e.g. canonical word-order which can have the verb in a declarative sentence either before the subject, after the subject or after both subject and object. Contrast principle in this respect."
32,performance,The actual production of language as opposed to the knowledge about the structure of one's native language which a speaker has internalised during childhood (see Competence).
33,productivity, in syntax — to the ability of speakers to produce an unlimited number of sentences using a limited set of structures.
34,psychological reality,"The extent to which the constructs of linguistic theory can be taken to have a basis in the human mind, i.e. to somehow be reflected in human cognitive structures. Many linguists are divided on this issue, one extreme claiming that this requirement of a theory is not necessary, other saying that it is the ultimate test of any respectable theory."
35,reflexiveness,The possibility of using language to talk about language; this is one of its delimiting characteristics with respect to other communication systems.
36,rhetoric,The technique of speaking effectively in public. Regarded in the past as an art and cultivated deliberately.
37,root,"1) In grammar the unalterable core of a word to which all suffixes are added, e.g. friend in un-friend-li-ness. 2) In etymology, the earliest form of a word. 3) In phonetics, the part of the tongue which lies furthest back in the mouth."
38,sapir-whorf hypothesis,"The notion that thought is determined by language. While few linguists nowadays accept this strict link, there would seem to be some truth to the postulation of the two American anthropologists/linguists."
39,sign language,A communication system in which people use their hands to convey signals. In recent years sign language has been the object of linguists' attention and has come to be regarded as a fully-fledged system comparable to natural language with those individuals who are congenitally deaf and who learn sign language from childhood.
40,structuralism,"A type of linguistic analysis which stresses the interrelatedness of all levels and sub-levels of language. It was introduced at the beginning of the century by Ferdinand de Saussure (1957-1913) as a deliberate reaction to the historically oriented linguistics of the 19th century and subsequently established itself as the standard paradigm until the 1950's when it was joined, if not replaced, by generative grammar."
41,synchronic,A reference to one point of time in a language. This may be the present but need not be. Forms a dichotomy with diachronic. Structural studies of language are usually synchronic and the Indo-Europeanists of the 19th century were diachronic in their approach.
42,taxonomic,A reference to linguistics in which the main aim is to list and classify features and phenomena. It is usually implied that no attempt for linguistic generalisations is made.
43,theoretical linguistics,The study of the structure of language without any concern for practical applications which might arise from one's work.
44,underlying representation,A representation of what is assumed by the linguist to be the structure which lies behind or forms the initial stage in the generation of a surface structure item. For instance one could say that /di:b/ is the underlying representation for German 'thief' and that the surface form [di:p] arises through the application of an automatic rule of final devoicing.
45,unproductive," mainly names of beings, parts of the body, etc."
46,zero,"Any element which is postulated by the linguist but which has no realisation in language, e.g. the plural morpheme which some linguists might assume to be present, but not realised, in a word like die Wagen."
47,zoosemiotics,The investigation of communications systems used by animals.
48,affricate,"A phonetic segment which consists of a stop followed immediately by a fricative. Affricates act as units phonologically and are synchronically indivisible, e.g. /tʃ/ in church /tʃɜ:tʃ/ or judge /dʒʌdʒ/."
49,allophone,"The realisation of a phoneme. Each segment has different realisations which are only partly distinguishable for speakers. A phoneme can have different allophones, frequently depending on position in the word or on a preceding vowel, e.g. [l] and [ɫ] in English (at the beginning and end of a word respectively) or [ç] and [x] in German (depending on whether the preceding vowel is front or not). Allophones are written in square brackets."
50,alphabet,"A system of letters intended to represent the sounds of a language in writing. For all west European languages the Latin alphabet has been the outset for their writing systems. However, because each language has a different sound system different combinations of letters have arisen and letters have come to be written with additional symbols attached to them."
51,alveolar,"A classification of sounds which are formed at the alveolar ridge (the bone plate behind the upper teeth). Alveolar sounds are formed with the tip or the blade of the tongue. Examples are /t,d,s,z,l,n/ in English or German."
52,alveolo-palatal,A classification of sounds which are formed with the hard palate as passive articulator and the blade of the tongue as active articulator. Examples are the two English fricatives [ʃ] and [ʒ].
53,ambi-dental,A description of the manner of articulation of the Modern English fricatives /θ/ and /ð/. It is preferred to inter-dental as the tongue is not usually positioned between the teeth for these sounds.
54,articulatory phonetics,One of three standard divisions of phonetics which concerns itself with the production of sounds (compare acoustic and auditive phonetics).
55,auditory phonetics,One of the three standard divisions of phonetics which is concerned with the perception of sounds.
56,bilabial,"Any sound produced using both lips, e.g. [p] oder [m]."
57,cardinal vowels,"A system of 8 rounded and 8 unrounded vowels which was originally developed by the English phonetician Daniel Jones and which is intended as a system of reference for the unambiguous classification of vowel values in a language. The cardinal vowels are represented in a quadrangle with vowels at each corner and two closed mid and open mid vowels, a pair in the front and a pair in the back of the quadrangle."
58,consonant," /p,t,k/ for instance, fricatives — /f, θ, s/ — and approximants — /j, w/. Consonants contrast with vowels in their relatively low sonority and are hence found typically in the margins of syllables, i.e. in onsets and codas as in stopped /stɒpt/."
59,contrastive,"Refers to any elements which are in opposition to each other. A phonetic distinction is contrastive if it has significance on the phonological level, i.e. if it distinguishes meaning."
60,dental,"A place of articulation characterised by the tip of the tongue being held against the back of the upper teeth, for instance in the pronunciation of /t,d/ in Italian, Swedish, etc. Indicated by a subscript diacritic representing a tooth, i.e. [ṯ, ḏ]. The initial sounds in English this and think are sometime referred to as dental fricatives but the description ambi-dental is more appropriate as the tip of the tongue need only be in the region of the teeth."
61,diphthong,"A vowel which is articulated with a change in tongue position between the beginning and end, e.g. /ai/ in English or German. Not all diphthongs have phonological status in a language. Historically, diphthongs tend to develop from long vowels."
62,discrete,"A characteristic of human language where there is no continuous transition from one unit to another, e.g. /p/ and /b/ are separate, discrete sounds and speakers pronounce one or the other but not something intermediary between the two."
63,ease of articulation,A putative reason for sound change. It may play a role in allegro speech and possibly effect the sound system over time but cannot be assumed to be a generally valid principle on the phonological level.
64,fricative,"A type of sound which is characterised by air passing a constriction somewhere between the glottis and the lips, e.g. [x, s, ʃ, f]. Turbulence arises when air flows through a narrow gap and it is this which causes the noise typical of fricatives. Fricatives can be voiced or voiceless. The equivalent term spirant is sometimes found."
65,glide,"A sound which from the point of view of phonological classification lies between a vowel and a consonant, e.g. /j/ and /w/ in English. It is formed with little friction and has a high degree of sonority which accounts for why glides are found near the nucleus of syllables. Sometimes called a semi-vowel."
66,glottal, voiceless and voiced respectively.
67,homophone,"Any set of words pronounced the same way, e.g. English poor and pour /pɔ:/ (Received Pronunciation) and German Ferse and Verse."
68,homorganic,"Any set of sounds which are articulated at the same point in the vocal tract, e.g. the sounds in the syllable-coda of mind /maind/ both of which are alveolar."
69,intonation,That part of the sound system of a language which involves the use of pitch to convey information. It consists of both accent (concerns individual words) and sentence melody (concerns word groups).
70,iPA,A system of transcribing the sounds of languages which consists of some Latin and Greek letters and a variety of additional symbols and diacritics. The goal is to represent each recognisable sound in a unique fashion. The IPA was developed at the end of the last century; the acronym stands for International Phonetic Alphabet.
71,labial,"A reference to a sound which is formed at the lips; this encompasses both bilabials like /p, m/ and labio-dentals like /f, v/."
72,labio-dental,Describes a consonant which is formed by the lower lip making contact with the upper teeth as in English and German [f] and [v].
73,labio-velar,"Describes a consonant which is articulated by a constriction at the velum with rounding of the lips at the same time, e.g. with [w] in English."
74,levelling, usually phonological or morphological — in the course of a language's development.
75,manner of articulation,"One of the three conventional parameters (the others are place of articulation and voice) which are used to specific how a sound is produced. Common types are plosives, fricatives and affricates."
76,minimal pair,"Any two words which are only distinguished by different sounds in a single position. Such word pairs are used in traditional phonology to determine the status of sounds as phonemes, e.g. German Kunst # Gunst and English railing # sailing which show that the initial sounds in all these words are phonemes in the respective languages. Note that the spelling of minimal pairs is irrelevant."
77,monophthong,"A vowel which is articulated with the tongue in a constant position, e.g. /o:/ in German Boot. Most long vowels in German are monophthongs while those in English are diphthongs, e.g. [bəʊt] for boat."
78,nasal,"A sound, vowel or consonant, which is produced by opening the nasal cavity (through lowering of the velum)."
79,natural class,A group of sounds which behave similarly. An example would be the group of obstruents (stops and fricatives) as only these are affected by final devoicing in German.
80,onomatopoeia,"The putative imitation of a natural phenomenon (for instance bird song) by phonetic means. Contrary to the opinion of many speakers, onomatopoeia is not a major principle in historical phonology."
81,optional,"A term which refers to allophonic processes which do not necessarily have to be carried out, cf. the shortening of high vowels before nasals as in Received Pronunciation room /ru:m/ &gt; /rum/ or been /bi:n/ &gt; /bɪn/; in general terms any process which is not obligatory."
82,oral,"Articulated in the mouth. The term usually implies that the nasal cavity is not involved, e.g. in French there are distinct oral and nasal vowels."
83,organs of speech,"Parts of the human anatomy which are used in speech production, e.g the glottis, velum, palate, alveolar ridge, lips and the tongue of course. From an evolutionary point of view one can see that these functions are secondary adaptations and specialisations of organs which have some other primary function."
84,palatal,A place of articulation at the hard palate in the centre of the roof of the mouth.
85,phone,Any human sound which has not been classified in the phonology of a language.
86,phoneme,"In traditional phonology the smallest unit in language which disinguishes meaning, e.g /k/ and /g/ as seen in coat and goat. Each phoneme has one or more realisations, called allophones."
87,phonemics,"The study of phonemes in language, their distribution, status and interrelationships."
88,phonetic,A reference to a phenomenon in the area of phonetics (often as opposed to phonology).
89,phonetics,The study of human sounds without immediate regard to their systematic status for a certain language.
90,phonological,"A reference to the phonology of a language, i.e. to the deeper and more abstract organisation of the sounds of a language. A language's phonology is its inventory of phonemes and the rules for their combination, distribution, etc.; in short all the 'grammatical' or structural aspects of the sound level. In a wider sense, phonology could be said to subsume phonetics as its 'surface' aspect."
91,phonology,The study of the sound system of one or more languages. Phonology involves the classification of sounds and a description of the interrelationship of the elements on a systematic level.
92,place of articulation,The point in the vocal tract at which a sound is produced. This can be anywhere from the lips at the front to the glottis (the gap between the vocal folds) at the back. The most common place of articulation is the alveolar ridge just behind the upper teeth.
93,plosive,"A sound which is produced with a complete blockage of the pulmonic airstream. Also called a stop, examples are /p,t,k/."
94,pronunciation,A collective reference to the manner in which sounds are articulated in a particular language. Given its concrete nature pronunciation is a matter of phonetics rather than phonology.
95,prosody,"A term which refers to all the suprasegmental properties of language such as pitch, loudness, tempo and rhythym."
96,received pronunciation,"The standard pronunciation of British English. This stems originally from the speech of the middle and upper classes in London. In the course of the 19th century it developed into a sociolect, particularly when adopted by the public schools, and attained a wide distribution in Wales and Scotland as well. The term was coined by the English phonetician Daniel Jones."
97,redundancy,"Superfluous information in language. Multiple marking of grammatical categories is the most common case of redundancy and is often found in German, e.g. the plural Dörfer which takes both an ending -er and a shift in stem vowel from back to front (umlaut)."
98,rhotic,"A reference to a variety of a language in which a syllable-final /r/ is pronounced, for instance (generally) in American English as opposed to Received Pronunciation in England."
99,rhythm,All the patterns of strong and weak syllables in a language. The rhythym of English (and German) is characterised by the foot which consists of a stressed syllable and all unstressed syllables up to the next stressed one.
100,segment,A unit of speech which is identifiable and separate from others. It contrasts with the term suprasegmental which refers to those aspects of phonetic structure above the level of individual sounds.
101,sibilant,"A sound which is pronounced with clear, hissing friction which is reminiscent of either /s/ or /ʃ/."
102,speech,The production of sounds using the organs of speech; contrasts directly with writing which is a secondary medium for communication via language.
103,stop,"A consonant which is formed by blocking off the airstream completely, e.g. /p, t, k/. It contrasts directly with a fricative which does not involve an interruption of the airstream."
104,stress,The acoustic prominence of a syllable in a word. The physical correlates of stress can vary. Typically it involves the raising of the basic frequency and/or of volume matched by a prolongation of the syllable involved.
105,structure,"A network of connections between elements of a system, for instance syllable structure is the set of relations which exist between parts of a syllable."
106,suprasegmental,"A reference to phenomena which do not belong to the sound segments of language but which typically are spread over several segments, e.g. intonation, stress, tempo, etc."
107,syllable,"The most important structural unit in phonology. A syllable consists of a series of sounds which are grouped around a nucleus of acoustic prominence (usually a vowel). A closed syllable is one which has a coda, an open syllable has a codaless rhyme: got /gɒt/ versus go /gəʊ/."
108,syntagmatic, the paradigmatic axis.
109,tongue,"The most frequently used active articulator in all languages. The tongue can be divided into the following areas: the tip (Latin apex), blade (Latin lamina), back (Latin dorsum). The distinction between tip and blade is important for the production of dental and alveolar sounds. The tongue may also show a groove, for instance with palato-alveolar fricatives such as /ʃ, ʒ/. The tip can be made to roll in the escaping air-stream as is the case with the apical rolled /r/ of many Romance languages and in many southern varieties of German. The root of the tongue can be retracted in order to achieve a constriction of the larynx as with the so-called 'emphatic' sounds of Arabic."
110,transcription,"A system of representing sounds in writing unambiguously. For phonological purposes a broad transcription is sufficient as long as the systemic distinctions in the particular language can be recognised. A narrow transcription is more typical of phonetics and may also be necessary in phonology where a feature relies on a phonetic basis which has to be specified. In English it is sufficient to transcribe /r/ as [r], although a narrow transcription would demand [ɻ] as strictly speaking [r] refers to an apical trill as in Spanish perro [pero] ‘dog”."
111,voiced,Spoken with simultaneous vibration of the vocal folds.
112,voiceless,Spoken without the vocal folds vibrating; the folds can either be open (the normal state) or closed with the compression of air between them and the supra-glottal stop position producing sounds which are called ejectives.
113,allomorph,"A non-distinctive variant of a morpheme, e.g. -keit and -heit in German (Heiterkeit, Schönheit) which vary according to the final consonant of the base to which they are suffixed but share the same grammatical function of nominal derivation."
114,article, or affix — used to specify a noun as definite or indefinite. It may vary for gender and case in languages with gender distinctions and a formal case system such as German.
115,bound,"In a general sense any form which cannot occur on its own. Both lexical and grammatical morphemes may be bound, but the number of the former is very limited, e.g. the first part of raspberry in English which does not occur independently."
116,case,"An inflection which indicates the relationship of a noun to other elements in a sentence, e.g. the dative in German which broadly indicates the beneficiary of an action: Sie hat ihm versprochen, nach Hause zu kommen. There are, however, many instances in which case requirements are not semantically motivated, e.g. gratulieren, imponieren with the dative as opposed to beglückwünschen, beeindrucken with the accusative."
117,closed class,"A term which refers to any linguistic level whose elements form a relatively small number which is not altered by the individual speaker. For instance phonemes, grammatical morphemes and syntactic structures are a closed set but the lexicon is definitely an open class as it is continuously expanding."
118,declension,"A term which refers to the inflections of nouns, pronouns, adjectives, i.e. of nouns and the elements which can qualify them. The set of inflections is called a nominal paradigm. The term declension can also be used for classes of nouns which conform to a certain paradigm. It is the equivalent with nouns of the term conjugation with verbs."
119,definite article,"A grammatical word which marks a following noun for definiteness. Not every language has such an element, though it is more common for the indefinite article to be missing. Languages furthermore vary according to whether they demand the definite article when nouns are used generically. This is a major difference between English and German, cf. He is interested in philosophy. Er interessiert sich für die Philosophie."
120,degree,"A relational specification which is found with adjectives and adverbs. There are three degrees: 1) positive as in small, 2) comparative as in smaller and 3) superlative as in smallest."
121,empty morph,"In some morphological analyses, an element which is posited as the carrier of a grammatical category but not present on the surface, for instance the word sheep could be said to contain an empty plural morph: sheep + Ø."
122,function word,A word which serves the purpose of indicating a grammatical category or relationship. It contrasts explicitly with a content word which has lexical meaning.
123,inflection,"An alteration made to a word to indicate a certain grammatical category, e.g. number and case with nouns or person, number and tense with verbs. The number of inflections in a language can be taken as an indication of its type, a large number being characteristic of synthetic languages. Diachronically inflections arise from clitics which become unseparable from the lexical bases to which they are attached."
124,irregular,"A form which can be regarded as an exception to a given pattern or rule, e.g. the plurals formed with a stem vowel change in Modern English, man : men, tooth : teeth."
125,morph,"Any item of language which cannot be broken down any further without a loss of meaning. A morph usually realises a morpheme, the unit of grammar on an abstract level, e.g. /ʌn/ in undoable but also /ɪm/ in impossible."
126,morpheme,"The smallest unit in a grammar which can contrast with another and which carries meaning. A morpheme can be an inflection, e.g. /ri:-/ in rewrite or a lexical word, house, tree, sick. A morpheme is an abstract unit and is realised by a morph; it is the approximate equivalent of a phoneme on the level of phonology."
127,morphology,"The level of linguistics which is concerned with the structure of words, both from the point of view of inflections and of word-formation. It is traditionally located between phonology (the level of sounds) and syntax (the level of sentences)."
128,noun,"One of the major parts of speech which refers to objects in the non-linguistic world or to notions which are regarded as forming entities parallel to real-world objects, e.g. by showing the property of countability."
129,number,"A grammatical category which refers to quantity, usually along a binary axis, singular vs. plural, although some languages have other number distinctions involving a dual or a paucal category (referring to a few items)."
130,person,"A grammatical distinction which applies to the speaker, addressee or person talked about in verbal systems. Normally there is a distinction between singular and plural as well. There are more distinctions available than just those found in European languages, for instance languages may distinguish between a personal form for 'we' which includes the addressee and one which does not."
131,personal pronoun,"A grammatical form which refers to the speaker, addressee or person talked about and which occupies a position immediately next to the verb. In discourse it is used to avoid repetition of a name which has already been mentioned."
132,plural,"A category in the grammar of all languages which refers to more than one object. All languages have a particular means for expressing this category, frequently by using a characteristic inflection."
133,pronoun,A grammatical element which refers to a noun previously mentioned; as such it has a deictic or anaphoric function as in The lecturer was here and he spoke to us on a special topic.
134,singular,"A grammatical category which indicates a single occurrence of something. This is taken as the unmarked or normal instance in language, the plural, or even more so the dual, being marked forms, usually with special inflections characterising them."
135,stem,"A part of a word to which prefixes and/or suffixes can be added. It is normally unalterable, though some morphological processes, such as umlaut in German, may change it. It is usually used synonymously with root."
136,suffix,Any element attached to the right- hand side of a stem. Suffixation in one of the major operations in morphology and is undertaken to indicate grammatical categories as in stone : stone-s where the -s is a plural marker suffix.
137,suppletion,"A form in a paradigm (a set of morphologically related elements, such as the forms of a verb or noun) which etymologically comes from another source, e.g. the past tense form went in English is not formally related to the verb go."
138,verb, the other is that of nouns — which is used to express a state or an action. The set of inflectional forms of a verb is termed a conjugation (parallel to declension with nouns). Verbs are usually distinguished for person and number along with tense and mood and frequently for aspect as well.
139,word class,"A group of words which are similar in their grammatical characteristics: the kinds of inflections they take, their distribution in sentences and the relations they enter with other sets of words. Typically word classes are nouns, verbs, adjectives, adverbs, prepositions."
140,word,"A general term for a morphological form which is internally stable, can stand on its own and which in principle can be moved to a new position in a sentence. In a synthetic language like German inflected words tend to be morphologically complex whereas in an analytic language like English these are usually simpler in structure."
141,zero derivation,"The transfer of an element of one word class into another without any formal alteration. This is particularly common in English today, e.g. breakfast (noun) &gt; to breakfast (verb). Another name for this phenomenon is conversion."
142,base,A free lexical word to which one or more endings can be added. A base can itself consist of more than one morpheme whereas a root contains only one.
143,citation form,"The form of a linguistic item which is given when it occurs on its own. Often the form used for a dictionary entry, typically the nominative of nouns and the infinitive of verbs (in English and German)."
144,compound,"A term from derivational morphology, i.e. a lexicological term, which refers to a word which contains more than one lexical morpheme. This word is thus a new word which is gained by combining two or more morphologically simpler words, e.g. girlfriend from girl and friend, teabreak from tea and break. The term is occasionally used in syntax, as in 'a compound sentence', when referring to a sentence which consists of clauses which in turn could function as sentences on their own."
145,conversion,"The use of an item of one class in another without any formal change, e.g. to breakfast from breakfast. Conversion is a common feature of analytical languages such as English."
146,lexeme,"The smallest (abstract) unit which is recognised as semantically independent in the lexicon of a language. A lexeme subsumes a set of forms which are related semantically, e.g. the lexeme walk unites the various forms walk, walks, walked, walking."
147,lexical,"1) Pertaining to the vocabulary of a language and/or information which is deposited in the mental lexicon of the speaker. 2) Irregular, 'quirky', not conforming to a given pattern. This second use implies that a form cannot be derived by rule and hence it must be learned as an indivisible whole during language acquisition and stored in the lexicon in its full, unalterable form."
148,lexicon,The vocabulary of a language. It can refer to the book form of a dictionary (usually with an alphabetic listing of words) or the assumed lexicon which speakers possess mentally. The precise nature and organisation of this mental lexicon is much debated in linguistic literature as it is generally assumed to be radically different in organisation from a conventional dictionary.
149,loan-word,"Any word which can be shown to have been imported from one language into another, that is which does not represent an historical continuation of an earlier form (although loan-words may be related at a greater time depth). The word cardiac is a Greek loan as it is derived from the word for 'heart' in the latter language although it is ultimately related to English heart as both stem from the same root in Indo-European *kerd."
150,neologism,A new word in the vocabulary of a language. Frequently a borrowing but not necessarily so.
151,opaque,A term referring to any form or process which cannot be spontaneously understood by lay speakers. One could say that the word gospel is opaque for English speakers as they do not normally know that it comes from good + spell.
152,thesaurus,A kind of dictionary which consists of words grouped according to similarity in meaning.
153,transparent,"A reference to a form or a process in morphology whose structure can be understood without any additional information, particularly of an historical nature, from the language concerned. For instance the German compound Kinderarzt is transparent but English pediatrician, which is derived from the Greek word for 'child' is not so. Former transparent compounds may change in the course of time. The English word hussey is a reduced form of 'housewife' and because of loss of transparency underwent a semantic shift to 'unpleasant woman' with the transparent housewife being re-introduced into the language. Transparent contrasts directly with opaque."
154,type, but 8 tokens — in the following sentence: The young girl spoke to the older girl because the words the and girl occur twice.
155,vocabulary,The set of words in a language. These are usually grouped into word fields so that the vocabulary can be said to show an internal structure. The term lexicon is also found here but the latter has two meanings (the words of a language and one's mental storehouse for these words).
156,word formation,"The second main branch of morphology (the other being inflection) and the chief process in lexicology (the study of the vocabulary of a language). Word formational processes are closely connected to a language's type: German as a synthetic language has much compounding but English as an analytic language has somewhat less, though in this sphere a tendency towards complex formations is noticeable, e.g. part-financed, low-intensity, small-scale."
157,accusative,In an inflectional language the formal marking of the direct object of a verb. A similar marking may be used after prepositions. As a term from traditional Latin grammar the term is inappropriate to modern English as the latter does not have any corresponding inflection.
158,active,A reference to a type of sentence in which the semantic subject is also the formal subject; contrasts with passive in which this is not the case. This type is generally taken as more basic than a passive sentence.
159,adjective,A word class which generally qualifies a noun. Because of this adjectives are found either before (in SVO languages) or after (in VSO languages) the noun they refer to. Adjectives in this position are termed 'attributive' while those placed after a copula are called 'predicative' as in The snow is very dry. Adjectives can themselves be qualified by adverbs (as in the example just given).
160,adverb,"A word class which encompasses those elements which qualify verbs/verb phrases (She smiled slyly) or nouns/noun phrases (A remarkably good linguist). The category is somewhat fuzzy and tends to be used as a bin for elements which cannot be assigned unequivocably to another word class. Some adverbs can qualify a clause or an entire sentence as in Surprisingly, John left for home."
161,attributive,"An adjective which is placed before a noun and specifies a quality as in His beautiful wife. Some adjectives can only occur in this role, e.g. German vorder in Ein vorderer Vokal which cannot occur as a predicative adjective: *Dieser Vokal ist vorder."
162,clause,"A syntactical unit which is smaller than a sentence. There are basically two types, main clauses and subordinate clauses, which are joined by certain grammatical words such as conjunctions or subordinators."
163,concord,"A feature of human languages where grammatical relationships are expressed by an agreement in form between at least two words, e.g. We are talking where the plural pronoun requires the form are and that in turn demands the progressive form of the verb. Concord is also a key feature of synthetic languages which have very strict agreement requirements for classes of inflections."
164,conjugation,"A term from inflectional morphology which refers to changes in ending for verbs depending on such factors as tense, mood, person and number. A set of verbal inflections is also termed an inflectional paradigm. The term is sometimes used to refer to the class of verbs which shares sets of forms, e.g. the weak conjugation would refer to all verbs in English (or German) which form their past tense by suffixation of an alveolar stop and not by an alteration of the root vowel."
165,constituent,Any unit which is part of a larger one. This can be a recognisable part of a word as with lexical compounds or it can be a phrase in a sentence as indicated in tree representations in phrase structure grammar.
166,copula," be in English, sein in German — which links elements in a sentence, usually in assigning attributes or qualities to nouns, e.g. Patrick is a miserable linguist."
167,declarative,A type of sentence which makes a positive statement rather than negating a statement or asking a question. Taken as the basic type of sentence.
168,deep structure, specifically syntax — in which ambiguities in structure do not exist and in which the semantic interpretation of a sentence is clear. Contrast surface structure.
169,dependent,"Any linguistic element which requires the presence of another in a structure or whose form is determined by another element or a grammatical category, for instance the form of the definite article in German which depends on the gender, number and case of the noun it co-occurs with."
170,determiner," or determines — the noun. This is a cover term for articles, demonstrative and possessive pronouns."
171,direct object,"An item in a sentence which indicates the object or being which is immediately affected by the action of the verb, e.g. He bought the book; She kissed the boy."
172,embedding,"The insertion of one syntactic phrase or unit within another, e.g. The girl who stood up is my sister."
